Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
06/12/2015,JEEP,LL,TK,BLU,E432011,IL,701 N. Sacramento,(773) 265-7605,6819878
06/12/2015,KIA,4D,,RED,E406991,IL,10300 S. Doty,(773) 568-8495,466772
06/12/2015,KIA,LL,,BLK,X470034,IL,10300 S. Doty,(773) 568-8495,2766032
06/12/2015,LEXS,4D,,BLU,187S541,IL,10300 S. Doty,(773) 568-8495,2765986
06/12/2015,LINC,2D,,BLK,469R237,IL,701 N. Sacramento,(773) 265-7605,6819868
06/12/2015,LINC,LL,,GRY,S932391,IL,10300 S. Doty,(773) 568-8495,2766001
06/12/2015,MERC,4D,,SIL,N430949,IL,10300 S. Doty,(773) 568-8495,2766036
06/12/2015,MERC,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2765987
06/12/2015,MERZ,2D,,BLU,W155AC,MT,10300 S. Doty,(773) 568-8495,2766055
06/12/2015,MERZ,4D,E32,GRN,,IL,10300 S. Doty,(773) 568-8495,2766038
06/12/2015,NISS,4D,,GRN,E482041,IL,701 N. Sacramento,(773) 265-7605,6819883
06/12/2015,NISS,4D,MAX,GRY,V493879,IL,701 N. Sacramento,(773) 265-1846,1533476
06/12/2015,NISS,4D,,BLU,V330206,IL,701 N. Sacramento,(773) 265-7605,6819871
06/12/2015,NISS,4D,,GRN,976R106,IL,10300 S. Doty,(773) 568-8495,2766007
06/12/2015,NISS,LL,,SIL,S496705,IL,10300 S. Doty,(773) 568-8495,2766049
06/12/2015,NISS,PK,,WHI,139S319,IL,701 N. Sacramento,(773) 265-7605,6819898
06/12/2015,OLDS,4D,,TAN,R132859,IL,10300 S. Doty,(773) 568-8495,2765992
06/12/2015,PONT,2D,,WHI,E185560,IL,10300 S. Doty,(773) 568-8495,2766039
06/12/2015,PONT,2D,,GRY,L689066,IL,10300 S. Doty,(773) 568-8495,2766005
06/12/2015,PONT,4D,GRM,WHI,,IL,10300 S. Doty,(773) 785-9752,1715298
06/12/2015,PONT,4D,,SIL,S897987,IL,701 N. Sacramento,(773) 265-7605,6819862
06/12/2015,PONT,4D,GRA,BLK,V602619,IL,10300 S. Doty,(773) 568-8495,2766035
06/12/2015,PONT,4D,,BLK,784R343,IL,701 N. Sacramento,(773) 265-7605,6819875
06/12/2015,PONT,4D,,BLK,8091448,IL,10300 S. Doty,(773) 568-8495,2766029
06/12/2015,PONT,VN,TK,SIL,V490766,IL,701 N. Sacramento,(773) 265-7605,6819902
06/12/2015,SAA,4D,,GRN,S211556,IL,10300 S. Doty,(773) 568-8495,2766030
06/12/2015,SATR,4D,,WHI,225XEK,WI,10300 S. Doty,(773) 568-8495,2766008
06/12/2015,TAHO,MC,,RED,10L883,IL,701 N. Sacramento,(773) 265-7605,6819905
06/12/2015,TOYT,4D,CAM,GRN,S496892,IL,701 N. Sacramento,(773) 265-7605,6819888
06/12/2015,TOYT,LL,,BRO,R811457,IL,701 N. Sacramento,(773) 265-7605,6819872
06/12/2015,TOYT,VN,TK,BLU,123S302,IL,10300 S. Doty,(773) 568-8495,2766057
06/12/2015,,BT,,WHI,,IL,10300 S. Doty,(773) 568-8495,2766045
06/12/2015,,TR,,BLU,,IL,10300 S. Doty,(773) 568-8495,2766044
06/11/2015,ACUR,2D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6819841
06/11/2015,ACUR,2T,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6819806
06/11/2015,AUDI,LL,,WHI,E930646,IL,10300 S. Doty,(773) 568-8495,466770
06/11/2015,BALI,MC,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6819814
06/11/2015,BMW,4D,,BLK,A819206,IL,10300 S. Doty,(773) 785-9752,1715291
06/11/2015,BUIC,4D,LES,SIL,S146889,IL,10300 S. Doty,(773) 568-8495,2765931
06/11/2015,BUIC,4D,,TAN,E148661,IL,10300 S. Doty,(773) 568-8495,2765966
06/11/2015,BUIC,4D,,WHI,E151682,IL,10300 S. Doty,(773) 568-8495,2765896
06/11/2015,BUIC,4D,LES,SIL,V761681,IL,701 N. Sacramento,(773) 265-7605,6819828
06/11/2015,BUIC,4D,,BLU,144S426,IL,10300 S. Doty,(773) 568-8495,2765967
06/11/2015,BUIC,4D,,GRN,2178400,IL,701 N. Sacramento,(773) 265-1846,1533474
06/11/2015,CADI,4D,,GRY,V359751,IL,10300 S. Doty,(773) 568-8495,2765882
06/11/2015,CHEV,4D,,GLD,N929575,IL,10300 S. Doty,(773) 568-8495,2765892
06/11/2015,CHEV,4D,CAV,RED,V177115,IL,10300 S. Doty,(773) 568-8495,2765925
06/11/2015,CHEV,4D,MOC,MAR,S210917,IL,10300 S. Doty,(773) 785-9752,1715289
06/11/2015,CHEV,4D,,GRY,E392290,IL,10300 S. Doty,(773) 568-8495,2765906
06/11/2015,CHEV,4D,IMP,SIL,L932272,IL,10300 S. Doty,(773) 568-8495,2765921
06/11/2015,CHEV,4D,IMP,SIL,S233559,IL,10300 S. Doty,(773) 568-8495,2765955
06/11/2015,CHEV,4D,MAL,BLK,5365290,IL,10300 S. Doty,(773) 568-8495,2765914
06/11/2015,CHEV,4D,LUM,SIL,V607773,IL,10300 S. Doty,(773) 568-8495,2765950
06/11/2015,CHEV,4D,MAL,MAR,S920871,IL,10300 S. Doty,(773) 568-8495,2765932
06/11/2015,CHEV,4D,IMP,WHI,LFR199,MI,10300 S. Doty,(773) 568-8495,2765948
06/11/2015,CHEV,4T,,MAR,,IL,701 N. Sacramento,(773) 265-7605,6819803
06/11/2015,CHEV,LL,VEN,WHI,V130565,IL,10300 S. Doty,(773) 568-8495,2765920
06/11/2015,CHEV,LL,,RED,,,701 N. Sacramento,(773) 265-7605,6819832
06/11/2015,CHEV,LL,AST,WHI,11740N,IL,10300 S. Doty,(773) 568-8495,2765962
06/11/2015,CHEV,LL,,RED,V326070,IL,701 N. Sacramento,(773) 265-7605,6819859
06/11/2015,CHEV,LL,BLZ,SIL,V750012,IL,701 N. Sacramento,(773) 265-7605,6819827
06/11/2015,CHEV,PK,,TAN,35053HB,IL,10300 S. Doty,(773) 568-8495,2765904
06/11/2015,CHEV,PK,,WHI,85423L,IL,10300 S. Doty,(773) 785-9752,1715293
06/11/2015,CHEV,VN,,TAN,1536051,IL,10300 S. Doty,(773) 568-8495,2765934
06/11/2015,CHRY,4D,,RED,E274583,IL,701 N. Sacramento,(773) 265-7605,6819831
06/11/2015,CHRY,4D,,BLK,V771896,IL,701 N. Sacramento,(773) 265-1846,1533472
06/11/2015,CHRY,4D,300,BLK,V299150,IL,10300 S. Doty,(773) 568-8495,2765924
06/11/2015,CHRY,LL,TOW,TAN,,IL,10300 S. Doty,(773) 568-8495,2765942
06/11/2015,CHRY,VN,TK,SIL,E945326,IN,10300 S. Doty,(773) 568-8495,2765889
06/11/2015,CHRY,VN,,GLD,V371513,IL,701 N. Sacramento,(773) 265-7605,6819834
06/11/2015,DODG,4D,,BLK,X809261,IL,10300 S. Doty,(773) 568-8495,2765976
06/11/2015,DODG,4D,,SIL,N284198,IL,10300 S. Doty,(773) 568-8495,2765893
06/11/2015,DODG,4D,STA,SIL,E387739,IL,10300 S. Doty,(773) 568-8495,2765943
06/11/2015,DODG,LL,TK,WHI,S237846,IL,10300 S. Doty,(773) 568-8495,2765886
06/11/2015,DODG,LL,DUR,BLU,N915980,IL,10300 S. Doty,(773) 568-8495,2765941
06/11/2015,DODG,LL,TK,BLU,,,701 N. Sacramento,(773) 265-7605,6819816
06/11/2015,DODG,LL,,BLU,V911493,IL,10300 S. Doty,(773) 568-8495,2765956
06/11/2015,DODG,VN,,BLU,V315010,IL,10300 S. Doty,(773) 568-8495,2765885
06/11/2015,DODG,VN,,WHI,R989231,IL,701 N. Sacramento,(773) 265-7605,6819805
06/11/2015,DODG,VN,,BLK,,IL,701 N. Sacramento,(773) 265-1846,1533471
06/11/2015,DODG,VN,,BLU,H682869,IL,10300 S. Doty,(773) 568-8495,2765881
06/11/2015,DODG,VN,CVN,GRY,V530167,IL,10300 S. Doty,(773) 568-8495,2765954
06/11/2015,DODG,VN,,WHI,1657522B,IL,10300 S. Doty,(773) 568-8495,2765973
06/11/2015,FORD,2D,,GRN,H883590,IL,701 N. Sacramento,(773) 265-7605,6819856
06/11/2015,FORD,4D,VIC,BLU,V352367,IL,10300 S. Doty,(773) 785-9752,1715292
06/11/2015,FORD,4D,CNT,GRY,S778688,IL,10300 S. Doty,(773) 568-8495,2765930
06/11/2015,FORD,4D,,GRY,V598398,IL,10300 S. Doty,(773) 568-8495,2765883
06/11/2015,FORD,4D,FOC,RED,V319652,IL,10300 S. Doty,(773) 568-8495,2765946
06/11/2015,FORD,LL,,BLK,L935634,IL,10300 S. Doty,(773) 568-8495,2765938
06/11/2015,FORD,LL,,GRY,H248969,IL,701 N. Sacramento,(773) 265-7605,6819812
06/11/2015,FORD,LL,,WHI,N587025,IL,701 N. Sacramento,(773) 265-7605,6819852
06/11/2015,FORD,LL,,GRN,845R686,IL,10300 S. Doty,(773) 785-9752,1715294
06/11/2015,FORD,PK,F15,RED,1385463,IL,10300 S. Doty,(773) 568-8495,2765947
06/11/2015,FORD,PK,,WHI,1098691B,IL,10300 S. Doty,(773) 785-9752,1715295
06/11/2015,FORD,PK,TK,RED,1587034B,IL,701 N. Sacramento,(773) 265-7605,6819849
06/11/2015,FORD,VN,,BLU,S724065,IL,10300 S. Doty,(773) 568-8495,2765972
06/11/2015,FORD,VN,,RED,L556526,IL,10300 S. Doty,(773) 568-8495,2765944
06/11/2015,FORD,VN,WIN,BLU,R385767,IL,10300 S. Doty,(773) 568-8495,2765959
06/11/2015,GMC,LL,TK,LGR,V319013,IL,10300 S. Doty,(773) 568-8495,2765890
06/11/2015,HOND,4D,,LGR,H591677,IL,701 N. Sacramento,(773) 265-7605,6819824
06/11/2015,HOND,LL,CRV,GRY,S396975,IL,10300 S. Doty,(773) 568-8495,2765957
06/11/2015,HOND,VN,TK_,GRY,S223841,IL,701 N. Sacramento,(773) 265-7605,6819804
06/11/2015,HYUN,4D,,RED,E116537,IL,10300 S. Doty,(773) 568-8495,2765894
06/11/2015,INFI,4T,,TAN,V376247,IL,10300 S. Doty,(773) 568-8495,2765905
06/11/2015,JEEP,LL,TK,BLK,,IL,10300 S. Doty,(773) 568-8495,2765971
06/11/2015,JEEP,LL,CHE,WHI,S716155,IL,10300 S. Doty,(773) 568-8495,2765953
06/11/2015,JEEP,LL,,WHI,9922809,IL,10300 S. Doty,(773) 568-8495,2765910
06/11/2015,KIA,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2765936
06/11/2015,LEXS,4D,,SIL,E385690,IL,701 N. Sacramento,(773) 265-7605,6819838
06/11/2015,LINC,4D,,BLK,456325,IL,10300 S. Doty,(773) 785-9752,1715290
06/11/2015,LINC,4D,NAV,SIL,S881860,IL,10300 S. Doty,(773) 568-8495,2765935
06/11/2015,MAZD,4D,,RED,BEU2062,MI,701 N. Sacramento,(773) 265-7605,6819861
06/11/2015,MERC,4D,SAB,GRY,E441240,IL,10300 S. Doty,(773) 568-8495,2765919
06/11/2015,MITS,4D,,WHI,S947278,IL,10300 S. Doty,(773) 568-8495,2765897
06/11/2015,MITS,4D,,CRM,E391263,IL,10300 S. Doty,(773) 568-8495,2765888
06/11/2015,NISS,4D,MAX,GRY,V746089,IL,10300 S. Doty,(773) 568-8495,2765922
06/11/2015,NISS,4D,,BLK,V865504,IL,10300 S. Doty,(773) 568-8495,2765960
06/11/2015,NISS,4D,ALT,RED,E143974,IL,10300 S. Doty,(773) 568-8495,2765916
06/11/2015,NISS,4D,,GRY,S239528,IL,701 N. Sacramento,(773) 265-7605,6819822
06/11/2015,NISS,4D,,BLK,S144725,IL,10300 S. Doty,(773) 568-8495,2765899
06/11/2015,NISS,4D,,WHI,851R438,IL,701 N. Sacramento,(773) 265-7605,6819817
06/11/2015,NISS,4D,ALT,BLK,V141790,IL,10300 S. Doty,(773) 568-8495,2765923
06/11/2015,NISS,4D,SEN,SIL,A623721,IL,10300 S. Doty,(773) 568-8495,2765945
06/11/2015,OLDS,4D,,WHI,E356666,IL,701 N. Sacramento,(773) 265-7605,6819845
06/11/2015,OLDS,4D,,GRN,V444161,IL,701 N. Sacramento,(773) 265-7605,6819854
06/11/2015,OLDS,4D,,GRY,E146402,IL,10300 S. Doty,(773) 568-8495,2765975
06/11/2015,OLDS,4D,INT,BLK,S227196,IL,10300 S. Doty,(773) 568-8495,2765929
06/11/2015,OLDS,4D,REG,MAR,,IL,10300 S. Doty,(773) 568-8495,2765964
06/11/2015,OLDS,4D,,BLK,,IL,701 N. Sacramento,(773) 265-1846,1533475
06/11/2015,PLYM,VN,VOY,BLU,180RMJ,WI,701 N. Sacramento,(773) 265-7605,6819815
06/11/2015,PONT,4D,BON,SIL,S238724,IL,701 N. Sacramento,(773) 265-7605,6819837
06/11/2015,PONT,4D,,SIL,E142611,IL,10300 S. Doty,(773) 568-8495,2765968
06/11/2015,PONT,4D,GRM,GRY,V128498,IL,10300 S. Doty,(773) 568-8495,2765937
06/11/2015,PONT,4D,,GLD,E433126,IL,10300 S. Doty,(773) 568-8495,2765970
06/11/2015,PONT,4D,,RED,V528826,IL,701 N. Sacramento,(773) 265-7605,6819833
06/11/2015,PONT,VN,,TAN,V753710,IL,701 N. Sacramento,(773) 265-7605,6819853
06/11/2015,TOYT,4D,COA,MAR,R130464,IL,701 N. Sacramento,(773) 265-7605,6819825
06/11/2015,TOYT,4D,,BLK,S376095,IL,701 N. Sacramento,(773) 265-7605,6819858
06/11/2015,TOYT,4D,CAM,GRN,178S155,IL,701 N. Sacramento,(773) 265-7605,6819844
06/11/2015,TOYT,SW,,ONG,R180560,IL,701 N. Sacramento,(773) 265-7605,6819811
06/11/2015,VOLV,LL,,BLU,V776334,IL,701 N. Sacramento,(773) 265-7605,6819846
06/10/2015,AUDI,LL,,WHI,A216611,IL,701 N. Sacramento,(773) 265-7605,6819787
06/10/2015,BUIC,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2765872
06/10/2015,BUIC,4D,,BGE,E752639,IL,701 N. Sacramento,(773) 265-7605,6819774
06/10/2015,BUIC,4D,,GRN,V154360,IL,701 N. Sacramento,(773) 265-7605,6819802
06/10/2015,BUIC,4D,CEN,GRY,V737297,IL,701 N. Sacramento,(773) 265-7605,6819778
06/10/2015,CADI,4D,,SIL,S245668,IL,10300 S. Doty,(773) 568-8495,2765852
06/10/2015,CADI,4D,,WHI,V533012,IL,701 N. Sacramento,(773) 265-7605,6819780
06/10/2015,CADI,4D,DEV,WHI,S670214,IL,10300 S. Doty,(773) 568-8495,2765793
06/10/2015,CADI,4T,,TAN,,IL,10300 S. Doty,(773) 568-8495,2765746
06/10/2015,CHAA,4D,,SIL,SLIMGD1,IL,10300 S. Doty,(773) 568-8495,2765865
06/10/2015,CHEC,4D,,RED,E143696,IL,10300 S. Doty,(773) 568-8495,2765844
06/10/2015,CHEV,2D,,,V527978,IL,701 N. Sacramento,(773) 265-7605,6819769
06/10/2015,CHEV,2D,CAV,BLK,P593483,IL,10300 S. Doty,(773) 568-8495,2765829
06/10/2015,CHEV,2D,,BLK,L838397,IL,10300 S. Doty,(773) 568-8495,2765828
06/10/2015,CHEV,2D,,BLK,E764389,IL,10300 S. Doty,(773) 568-8495,2765860
06/10/2015,CHEV,4D,,BLU,V525459,IL,701 N. Sacramento,(773) 265-7605,6819795
06/10/2015,CHEV,4D,IMP,RED,R860328,IL,10300 S. Doty,(773) 568-8495,2765816
06/10/2015,CHEV,4D,,BLK,R998452,IL,10300 S. Doty,(773) 568-8495,2765851
06/10/2015,CHEV,4D,MAL,GRN,P359345,IL,10300 S. Doty,(773) 568-8495,2765797
06/10/2015,CHEV,4D,MAL,BLK,E576535,IL,10300 S. Doty,(773) 568-8495,2765790
06/10/2015,CHEV,4D,MAL,TAN,S920830,IL,701 N. Sacramento,(773) 265-7605,6819775
06/10/2015,CHEV,4D,,PLE,WG1V6B,MO,10300 S. Doty,(773) 568-8495,2765830
06/10/2015,CHEV,4D,,SIL,V278230,IL,10300 S. Doty,(773) 568-8495,2765853
06/10/2015,CHEV,LL,,GRN,H422712,IL,10300 S. Doty,(773) 568-8495,2765845
06/10/2015,CHEV,LL,BLZ,MAR,N551579,IL,10300 S. Doty,(773) 568-8495,2765825
06/10/2015,CHEV,PK,,BLK,1357429B,IL,701 N. Sacramento,(773) 265-7605,6819799
06/10/2015,CHEV,VN,,MAR,V598195,IL,10300 S. Doty,(773) 568-8495,2765811
06/10/2015,CHEV,VN,,GRY,N915876,IL,10300 S. Doty,(773) 568-8495,2765858
06/10/2015,CHEV,VN,,GRY,S905299,IL,10300 S. Doty,(773) 568-8495,2765859
06/10/2015,CHEV,VN,TK,MAR,E148389,IL,10300 S. Doty,(773) 568-8495,2765763
06/10/2015,CHRY,4D,,WHI,S497214,IL,10300 S. Doty,(773) 568-8495,2765757
06/10/2015,CHRY,4D,,PLE,V706010,IL,10300 S. Doty,(773) 568-8495,2765842
06/10/2015,CHRY,4D,,BLK,V240247,IL,701 N. Sacramento,(773) 265-1846,1533466
06/10/2015,CHRY,4D,,BLU,X937201,IL,10300 S. Doty,(773) 568-8495,2765817
06/10/2015,CHRY,VN,TOW,BLK,E146340,IL,10300 S. Doty,(773) 568-8495,2765822
06/10/2015,CHRY,VN,,BLU,R798410,IL,10300 S. Doty,(773) 568-8495,2765855
06/10/2015,DODG,4D,,SIL,E143249,IL,10300 S. Doty,(773) 568-8495,2765800
06/10/2015,DODG,4D,,BLK,R799995,IL,10300 S. Doty,(773) 568-8495,2765864
06/10/2015,DODG,4D,,PLE,E153702,IL,10300 S. Doty,(773) 568-8495,2765812
06/10/2015,DODG,4T,,WHI,E331799,IL,701 N. Sacramento,(773) 265-7605,6819753
06/10/2015,DODG,LL,DUR,BLK,816R221,IL,701 N. Sacramento,(773) 265-1846,1533465
06/10/2015,DODG,LL,DUR,SIL,P331283,IL,10300 S. Doty,(773) 568-8495,2765833
06/10/2015,DODG,LL,,BLK,S882747,IL,10300 S. Doty,(773) 568-8495,2765841
06/10/2015,DODG,LL,,BLU,R489448,IL,701 N. Sacramento,(773) 265-7605,6819791
06/10/2015,DODG,VN,,BLU,7014894,IL,701 N. Sacramento,(773) 265-7605,6819766
06/10/2015,DODG,VN,,TAN,V638173,IL,10300 S. Doty,(773) 568-8495,2765856
06/10/2015,DODG,VN,,GRN,E278625,IL,10300 S. Doty,(773) 568-8495,2765774
06/10/2015,DODG,VN,,MAR,L104878,IL,10300 S. Doty,(773) 568-8495,2765762
06/10/2015,DODG,VN,,SIL,V132405,IL,10300 S. Doty,(773) 568-8495,2765836
06/10/2015,DODG,VN,CVN,WHI,983R253,IL,10300 S. Doty,(773) 568-8495,2765827
06/10/2015,DODG,VN,,BLU,D110426,IL,10300 S. Doty,(773) 568-8495,2765871
06/10/2015,DODG,VN,CVN,BLU,E385078,IL,10300 S. Doty,(773) 568-8495,2765821
06/10/2015,FORD,4D,,SIL,V762632,IL,701 N. Sacramento,(773) 265-1846,1533467
06/10/2015,FORD,LL,EXP,RED,E512688,IL,10300 S. Doty,(773) 568-8495,2765806
06/10/2015,FORD,LL,EXP,BLK,V954957,IL,10300 S. Doty,(773) 568-8495,2765831
06/10/2015,FORD,PK,,SIL,3800PC-B,IL,10300 S. Doty,(773) 568-8495,2765766
06/10/2015,FORD,SW,,SIL,V788117,IL,10300 S. Doty,(773) 568-8495,2765770
06/10/2015,FORD,VN,,BLU,E144021,IL,10300 S. Doty,(773) 568-8495,2765857
06/10/2015,FORD,VN,WIN,GRN,BA39194,AL,10300 S. Doty,(773) 568-8495,2765810
06/10/2015,HOND,4D,,GLD,R418016,IL,701 N. Sacramento,(773) 265-7605,6819772
06/10/2015,HOND,4D,CIV,SIL,E396042,IL,10300 S. Doty,(773) 568-8495,2765781
06/10/2015,HYUN,4D,,BLU,S742TP,FL,400 E. Lower Wacker,(312) 744-7550,928178
06/10/2015,HYUN,4D,SON,BLK,MZEULA2,IL,10300 S. Doty,(773) 568-8495,2765787
06/10/2015,INFI,4D,,GRY,S847092,IL,10300 S. Doty,(773) 568-8495,2765826
06/10/2015,JEEP,LL,CHE,GRN,V149036,IL,10300 S. Doty,(773) 568-8495,2765782
06/10/2015,KIA,VN,,WHI,S883963,IL,10300 S. Doty,(773) 568-8495,2765839
06/10/2015,LEXS,2D,,GLD,S104705,IL,10300 S. Doty,(773) 568-8495,2765813
06/10/2015,LEXS,4D,,BLU,H125279,IL,701 N. Sacramento,(773) 265-7605,466814
06/10/2015,MITS,4D,,WHI,X175555,IL,10300 S. Doty,(773) 568-8495,2765794
06/10/2015,MITS,4D,GAL,WHI,V393615,IL,10300 S. Doty,(773) 568-8495,2765803
06/10/2015,NISS,4D,,SIL,DL5160F,IL,10300 S. Doty,(773) 568-8495,2765780
06/10/2015,NISS,4D,,BLK,S683725,IL,701 N. Sacramento,(773) 265-7605,6819758
06/10/2015,NISS,4D,ALT,MAR,832R267,IL,10300 S. Doty,(773) 568-8495,2765819
06/10/2015,NISS,4D,,GRY,V110938,IL,10300 S. Doty,(773) 568-8495,2765796
06/10/2015,NISS,4D,,BLK,L345867,IL,10300 S. Doty,(773) 568-8495,2765854
06/10/2015,NISS,4D,,GRY,P982380,IL,10300 S. Doty,(773) 568-8495,2765846
06/10/2015,NISS,4T,,BLK,K409116,IL,10300 S. Doty,(773) 568-8495,2765761
06/10/2015,NISS,4T,,BLK,R442342,IL,10300 S. Doty,(773) 568-8495,2765765
06/10/2015,NISS,LL,,BLU,,IL,10300 S. Doty,(773) 568-8495,2765767
06/10/2015,OLDS,2D,,BLU,V612042,IL,10300 S. Doty,(773) 568-8495,2765878
06/10/2015,OLDS,4D,,GRN,E150791,IL,10300 S. Doty,(773) 568-8495,2765759
06/10/2015,OLDS,4D,,BLK,184S761,IL,10300 S. Doty,(773) 568-8495,2765755
06/10/2015,OLDS,VN,SIL,GRN,V750034,IL,701 N. Sacramento,(773) 265-7605,6819783
06/10/2015,PLYM,VN,,GRN,E994108,IL,701 N. Sacramento,(773) 265-7605,6819785
06/10/2015,PONT,2D,GRM,RED,V608490,IL,10300 S. Doty,(773) 568-8495,2765820
06/10/2015,PONT,4D,GRM,BLU,V769728,IL,10300 S. Doty,(773) 568-8495,2765807
06/10/2015,PONT,4D,,RED,V845058,IL,10300 S. Doty,(773) 568-8495,2765753
06/10/2015,PONT,4D,,GRN,E479232,IL,10300 S. Doty,(773) 568-8495,2765798
06/10/2015,PONT,4D,600,BLU,GFA9240,OH,10300 S. Doty,(773) 568-8495,2765785
06/10/2015,PONT,4D,,GRY,V608722,IL,701 N. Sacramento,(773) 265-7605,6819793
06/10/2015,PONT,4D,,SIL,V512733,IL,10300 S. Doty,(773) 568-8495,2765835
06/10/2015,PONT,4D,GRM,SIL,A936178,IL,10300 S. Doty,(773) 568-8495,2765834
06/10/2015,PONT,4D,,GRN,,,10300 S. Doty,(773) 568-8495,2765879
06/10/2015,PONT,VN,MTA,TAN,S880791,IL,10300 S. Doty,(773) 568-8495,2765802
06/10/2015,PORC,LL,,SIL,853R700,IL,10300 S. Doty,(773) 568-8495,2765870
06/10/2015,SAA,2T,,SIL,L940586,IL,10300 S. Doty,(773) 568-8495,2765776
06/10/2015,SATR,4D,,BLU,164636,IL,10300 S. Doty,(773) 568-8495,2765876
06/10/2015,SATR,LL,,,V617704,IL,10300 S. Doty,(773) 568-8495,2765804
06/10/2015,SCHW,2D,,RED,,IL,701 N. Sacramento,(773) 265-7605,6819786
06/10/2015,TOYT,4D,COR,BLK,R415502,IL,10300 S. Doty,(773) 568-8495,2765788
06/10/2015,TOYT,4D,,GRY,E434825,IL,701 N. Sacramento,(773) 265-7605,6819788
06/10/2015,TOYT,4D,CAM,GRY,R640364,IL,10300 S. Doty,(773) 568-8495,2765818
06/10/2015,TOYT,LL,,GRN,R800084,IL,10300 S. Doty,(773) 568-8495,2765863
06/10/2015,VOLK,4D,,SIL,S104293,IL,10300 S. Doty,(773) 568-8495,2765849
06/10/2015,VOLK,4D,,GRN,R434787,IL,701 N. Sacramento,(773) 265-7605,6819754
06/10/2015,VOLK,4D,,BLU,Y821742,IL,701 N. Sacramento,(773) 265-7605,6819792
06/10/2015,,LL,,BLK,,IL,701 N. Sacramento,(773) 265-1846,1533469
06/09/2015,BMW,4D,750,BLK,V142039,IL,701 N. Sacramento,(773) 265-7605,6819735
06/09/2015,BUIC,4D,,GLD,DBK359,IA,701 N. Sacramento,(773) 265-7605,6819746
06/09/2015,BUIC,4T,,BLK,,IL,10300 S. Doty,(773) 568-8495,2765692
06/09/2015,CADI,4D,,GRN,V175512,IL,10300 S. Doty,(773) 785-9752,1715288
06/09/2015,CADI,4D,,BLK,V146922,IL,10300 S. Doty,(773) 568-8495,2765687
06/09/2015,CADI,LL,,WHI,Y873731,IL,701 N. Sacramento,(773) 265-7605,6819711
06/09/2015,CHEV,2T,,GRN,E695447,IL,701 N. Sacramento,(773) 265-7605,6819719
06/09/2015,CHEV,4D,,TAN,E213410,IL,10300 S. Doty,(773) 568-8495,2765731
06/09/2015,CHEV,4D,,GRY,,IL,701 N. Sacramento,(773) 265-1846,1533462
06/09/2015,CHEV,4D,,GRN,L922567,IL,701 N. Sacramento,(773) 265-7605,6819742
06/09/2015,CHEV,4D,,SIL,5924236,IL,10300 S. Doty,(773) 568-8495,2765730
06/09/2015,CHEV,4D,MAL,GRY,S839129,IL,10300 S. Doty,(773) 568-8495,2765716
06/09/2015,CHEV,4D,,WHI,WUV178,IN,10300 S. Doty,(773) 568-8495,2765696
06/09/2015,CHEV,4D,IMP,MAR,V733536,IL,10300 S. Doty,(773) 568-8495,2765710
06/09/2015,CHEV,4T,,GRY,E746758,IL,10300 S. Doty,(773) 568-8495,2765751
06/09/2015,CHEV,LL,,RED,00126318,IL,10300 S. Doty,(773) 568-8495,2765691
06/09/2015,CHEV,LL,,TAN,V518830,IL,10300 S. Doty,(773) 568-8495,2765695
06/09/2015,CHEV,LL,,GRN,Y729195,IL,701 N. Sacramento,(773) 265-7605,6819714
06/09/2015,CHEV,LL,,GRN,E279467,IL,10300 S. Doty,(773) 785-9752,1715287
06/09/2015,CHEV,PK,S10,RED,1352488B,IL,10300 S. Doty,(773) 568-8495,2765715
06/09/2015,DODG,4D,,RED,V616473,IL,10300 S. Doty,(773) 568-8495,2765747
06/09/2015,DODG,VN,,TAN,S943193,IL,10300 S. Doty,(773) 568-8495,2765732
06/09/2015,DODG,VN,TK,RED,899R634,IL,701 N. Sacramento,(773) 265-7605,6819713
06/09/2015,FORD,4D,,BLU,E441038,IL,10300 S. Doty,(773) 568-8495,2765697
06/09/2015,FORD,4D,,GRY,757R596,IL,701 N. Sacramento,(773) 265-7605,6819721
06/09/2015,FORD,4D,,WHI,155REK,MN,10300 S. Doty,(773) 568-8495,2765693
06/09/2015,FORD,4D,TAU,RED,,IL,701 N. Sacramento,(773) 265-7605,6819725
06/09/2015,FORD,LL,,BLU,E950157,IL,10300 S. Doty,(773) 568-8495,2765743
06/09/2015,FORD,LL,EXP,WHI,,IL,10300 S. Doty,(773) 568-8495,2765712
06/09/2015,FORD,LL,,BLK,R595146,IL,10300 S. Doty,(773) 568-8495,2765741
06/09/2015,FORD,PK,F15,SIL,1328045B,IL,10300 S. Doty,(773) 568-8495,2765728
06/09/2015,FORD,VN,WIN,BLU,S882128,IL,701 N. Sacramento,(773) 265-7605,6819727
06/09/2015,FORD,VN,TK,SIL,V512967,IL,10300 S. Doty,(773) 568-8495,2765688
06/09/2015,FORD,VN,WIN,BLU,V319952,IL,10300 S. Doty,(773) 568-8495,2765720
